date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:32	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2027%20Oct%202025%2011:34:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/clone%204%20hm/www.googletagmanager.com/gtm.85445.delayed	(from https://www.lapa.ninja/tag/spotify/)
12:35:33	5727/5727	---MCZ	200	added ('OK')	text/css	etag:W/%221e191a0c8bab2904ecdf168a7f4d98be-ssl%22	https://www.lapa.ninja/css/premium.css?v=1761406440	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/css/premium2f38.css	(from https://www.lapa.ninja/tag/spotify/)
12:35:34	194699/194699	---M--	200	added ('OK')	text/javascript	etag:16593231764106180094	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8531510046411661	C:/My%20Web%20Sites/clone%204%20hm/pagead2.googlesyndication.com/pagead/js/f71b3.txt	(from https://www.lapa.ninja/tag/spotify/)
12:35:36	606/606	---M--	200	added ('OK')	image/png	etag:%22b10796b9559d59faac1ab6ac8dfa224c%22	https://cdn.lapa.ninja/assets/favicon/webflow-fav.png	C:/My%20Web%20Sites/clone%204%20hm/cdn.lapa.ninja/assets/favicon/webflow-fav.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:36	120367/120367	---M--	200	added ('OK')	image/png	etag:%224f64414043c81ccbea821aad85620977%22	https://cdn.lapa.ninja/assets/banner/mobbin-post.png	C:/My%20Web%20Sites/clone%204%20hm/cdn.lapa.ninja/assets/banner/mobbin-post.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:37	3178/3178	---M--	200	added ('OK')	image/png	etag:%22a746c2afc8f41b65c142f2d861899920%22	https://cdn.lapa.ninja/assets/favicon/framer-fav.png	C:/My%20Web%20Sites/clone%204%20hm/cdn.lapa.ninja/assets/favicon/framer-fav.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:38	1129/1129	---M--	200	added ('OK')	image/png	etag:%22668e11e82120297b1878c4db77a44ab2%22	https://cdn.lapa.ninja/assets/favicon/spotify.png	C:/My%20Web%20Sites/clone%204%20hm/cdn.lapa.ninja/assets/favicon/spotify.png	(from https://www.lapa.ninja/tag/spotify/)
12:35:38	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2027%20Oct%202025%2011:34:11%20GMT	https://www.lapa.ninja/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:39	260014/260014	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f7ae-KTIodiqParML5EEtf9F+x5HBQzE%22	https://cdn.jsdelivr.net/ghost/signup-form@~0.2/umd/signup-form.min.js	C:/My%20Web%20Sites/clone%204%20hm/cdn.jsdelivr.net/ghost/signup-form@_0.2/umd/signup-form.min.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:39	934/934	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f16b19c54d017db22ec82fc11345c972-ssl%22	https://www.lapa.ninja/js/main.js?v=1761406440	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/js/main2f38.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:42	12386/12386	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b5d9d09eaffc726f7b572d1829e2c81-ssl%22	https://www.lapa.ninja/js/promoted-slider.js?v=1761406440	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/js/promoted-slider2f38.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Oct%202025%2011:34:15%20GMT	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/clone%204%20hm/m.servedby-buysellads.com/monetization.14.delayed	(from https://www.lapa.ninja/tag/spotify/)
12:35:45	78313/78313	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662297620fc328d2fb335565fd03b8f6%22	https://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/clone%204%20hm/m.servedby-buysellads.com/monetization.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:49	192467/192467	---M--	200	added ('OK')	text/javascript	etag:9649100572820977402	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/clone%204%20hm/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.lapa.ninja/tag/spotify/)
12:35:50	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2027%20Oct%202025%2011:34:19%20GMT	https://clerk.lapa.ninja/npm/@clerk/clerk-js@5/dist/clerk.browser.js	C:/My%20Web%20Sites/clone%204%20hm/clerk.lapa.ninja/npm/@clerk/clerk-js@5/dist/clerk.browser.16.delayed	(from https://www.lapa.ninja/tag/spotify/)
12:35:51	15918/15918	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bf9af305086fb6fdbcf2a6239a36dc8b-ssl%22	https://www.lapa.ninja/js/auth.js?v=1761406440	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/js/auth2f38.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:52	295099/295099	---MCZ	200	added ('OK')	application/javascript	etag:W/%22480bb-wQcVvoZBUIvgUTb0MqTa30jvyQM%22	https://clerk.lapa.ninja/npm/@clerk/clerk-js@5.102.1/dist/clerk.browser.js	C:/My%20Web%20Sites/clone%204%20hm/clerk.lapa.ninja/npm/@clerk/clerk-js@5.102.1/dist/clerk.browser.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:53	9851/9851	---MCZ	200	added ('OK')	application/javascript	etag:W/%2281aa0772a53a3dc8ef509d7730d6d12d-ssl%22	https://www.lapa.ninja/js/member.js?v=1761406440	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/js/member2f38.js	(from https://www.lapa.ninja/tag/spotify/)
12:35:55	1600/1600	---MCZ	200	added ('OK')	application/javascript	etag:W/%220ca8eb3617228a63f53f8d43b1c0ceee-ssl%22	https://www.lapa.ninja/js/logout.js?v=1761406440	C:/My%20Web%20Sites/clone%204%20hm/www.lapa.ninja/js/logout2f38.js	(from https://www.lapa.ninja/tag/spotify/)
